Duration (seconds),How familiar are you with your company's immigration policies?,How many employees work at your company?,What industry is your company in? (modified),What industry is your company in?,What state is your company headquartered in?,Do you have a written immigration policy today?,Does your company hire candidates on H-1B visas?,Do you require that the H-1B candidate has a minimum amount of time remaining in their overall 6-year maximum for them to be eligible for hire?,How many months must be remaining in their H-1B status (time before max out)? Please leave blank if unsure; use the arrow button below to move forward.,Months before H-1B maxout (modified),Are H-1B employees eligible for Green Card sponsorship?,How many months after the employee's start date are H-1B employees eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from H-1B (modified),Does your company sponsor L-1 visas?,Are L-1 employees eligible for H-1B lottery sponsorship?,How many months after the L-1 employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from L-1 (modified),Are L-1 employees eligible for Green Card sponsorship?,How many months after the L-1 employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from L-1 (modified),Does your company sponsor F-1 OPT visas?,Do you require that the F-1 OPT candidate has a minimum time period of OPT or STEM OPT remaining for them to be eligible for hire?,How many months must be remaining in their F-1 status (time before max out)?Please leave blank if unsure; use the arrow button below to move forward.,Months before F-1 OPT maxout (modified),"Does your company sponsor single intent visas (e.g. TN, E-2, E-3, O-1) that can be renewed indefinitely?",Are single intent visa employees eligible for H-1B lottery sponsorship?,How many months after the single intent visa employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from single intent (modified),Are single intent visa employees eligible for Green Card sponsorship?,How many months after the single intent visa employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start-date for GC eligibility from single intent (modified),How many months before an employee's status expiration do you initiate an extension?Please leave blank if unsure; use the arrow button below to move forward.,Months left before expiry to initiate extension (modified) ,When are employees eligible to start with your company after an H-1B transfer has been filed?,Does your company support the maintenance of the employee's underlying nonimmigrant visa once an I-485 is pending?,Do you limit which occupations/jobs you are willing to sponsor for a non-immigrant visa?,"To show that you are paying attention, please select ""none of the above"" option as your answer.","For PERM-based Green Cards, the employer is required to cover the cost of the PERM but either the employer or employee can cover the cost of the I-140 and I-485 processes. What portion of I-140 costs do you cover?",What portion of I-485 costs do you cover?,Do you cover Green Card processing costs for the employee's dependent family members?,"If an application is filed with USCIS' Premium Processing option, who covers the cost?",What portion of consular processing costs do you cover when an employee goes abroad to obtain a visa stamp?,Will you cover travel expenses related to consular processing of visa applications?,,Do you cover non-immigrant visa costs for the employee's dependent family members?,Do you have a liquidated damages clause that allows you to recoup immigration fees when an employee leaves your company within a specific time period?,What is the tenure threshold below which the liquidated damages clause applies in months?Please leave blank if unsure; use the arrow button below to move forward.,Tenure of liquidated damages clause (modified) ,What percent of damages are you seeking to recover?Please leave blank if unsure; use the arrow button below to move forward.,Percent of damages recovered (modified),Who is responsible for immigration costs at your company?,Do you share a complete copy of an employee's immigration filings with the employee to bring to consular appointments?,"Do you share case tracking numbers (e.g. receipt number, PERM case number) and government notices (e.g. receipt notice, approval notice) with the employee?",Session ID,Publish ID,Count of State Responses,Count of Industry Responses,SizeProxy,[AI]Proxy,Power of One
373,It is a primary function of my job role,2. 11-50,Education,Education,TX,No,No,,,,,,,No,,,,,,,No,,,,Yes,No,,,No,,,4,6,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,All,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,No,846f4155-47f3-4671-bd25-99007c06e4a0,2db2f506-d7e4-4075-a3ca-7f2bca81073d,52,46,#REF!,#REF!,1
586,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Education,Education,MS,Yes,Yes,Yes,36,36,Yes,12,12,No,,,,,,,No,,,,No,,,,,,,6,6,Immediately upon USCIS receipt of application,No,Yes,None of the above,All,All,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,cc2bcef0-eb09-4df5-a899-58db56e0eb04,2db2f506-d7e4-4075-a3ca-7f2bca81073d,4,46,#REF!,#REF!,1
93,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Retail & Consumer Durables,Retail & Consumer Durables,FL,Yes,Yes,Yes,6,6,No,,,No,,,,,,,Yes,I don't know,,,No,,,,,,,,,Immediately upon USCIS receipt of application,No,No,None of the above,Some,I don't know,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Sometimes,No,1da8c8a4-bc52-4c82-9663-d257a298197d,2db2f506-d7e4-4075-a3ca-7f2bca81073d,61,46,#REF!,#REF!,1
131,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Agriculture,Agriculture,TX,No,Yes,I don't know,,,Yes,,,Yes,Yes,,,Yes,,,Yes,I don't know,,,Yes,I don't know,,,Yes,,,,,Upon USCIS issuance of receipt notice,I don't know,I don't know,None of the above,All,All,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,All,Yes,,We cover all costs for all dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,2ce5af78-ddb3-4f41-ba39-e5d3db1eb809,2db2f506-d7e4-4075-a3ca-7f2bca81073d,52,8,#REF!,#REF!,1
242,It is a primary function of my job role,4. 201-500,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,FL,Yes,Yes,Yes,15,24,Yes,4,6,Yes,Yes,3,6,Yes,5,6,Yes,Yes,2,6,Yes,Yes,2,6,Yes,2,6,6,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover all costs for all dependent family members,Yes,3,6,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,Yes,7e84b060-0b68-4603-b27f-003f3a4d6612,2db2f506-d7e4-4075-a3ca-7f2bca81073d,61,98,#REF!,#REF!,1
195,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Manufacturing,Manufacturing,TX,Yes,Yes,Yes,12,12,Yes,36,36,No,,,,,,,Yes,Yes,24,24,No,,,,,,,12,12,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,8c1c6c7a-ecd4-4a57-b3bc-4469001727f7,2db2f506-d7e4-4075-a3ca-7f2bca81073d,52,37,#REF!,#REF!,1
122,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Government,Government,FL,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,Yes,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,I don't know,cb2cc84e-3c0a-4e7a-b3f0-9c0a792a46db,2db2f506-d7e4-4075-a3ca-7f2bca81073d,61,20,#REF!,#REF!,1
63,It is a primary function of my job role,"6. 1,001-5,000","Construction, Machinery and Homes","Construction, Machinery and Homes",AL,No,No,,,,,,,Yes,I don't know,,,No,,,No,,,,Yes,I don't know,,,I don't know,,,5,6,Upon USCIS issuance of receipt notice,I don't know,I don't know,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,I don't know,,We cover some costs for dependent family members,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,No,5f976e19-f10d-42bf-832c-314d7a20dd7d,2db2f506-d7e4-4075-a3ca-7f2bca81073d,22,47,#REF!,#REF!,1
130,It is a primary function of my job role,"7. 5,001-10,000",Retail & Consumer Durables,Retail & Consumer Durables,NJ,Yes,No,,,,,,,Yes,Yes,12,12,Yes,6,6,No,,,,No,,,,,,,6,6,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover no costs for dependent family members,Yes,5,6,50,50,Human Resources,Always,Yes,3f10412d-c584-4630-9652-5ee93b50b7e8,2db2f506-d7e4-4075-a3ca-7f2bca81073d,8,46,#REF!,#REF!,1
221,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,MS,No,Yes,No,,,Yes,15,24,No,,,,,,,No,,,,No,,,,,,,10,12,Upon USCIS approval,Yes,No,None of the above,None,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover no costs for dependent family members,Yes,15,24,20,25,Human Resources,Always,Yes,f11f9174-96dd-4d65-bb58-eba84dd4e9b6,2db2f506-d7e4-4075-a3ca-7f2bca81073d,4,98,#REF!,#REF!,1
